State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Amenities_Count,Floor_Ratio,Good_Investment
Punjab,Ludhiana,Locality_167,Apartment,2,3642,183.79,0.05,1997,Semi-furnished,19,27,29,9,8,1,1,0,"Clubhouse, Pool, Playground, Gym",South,Broker,Ready_to_Move,4,0.7037037037037037,0
Rajasthan,Jodhpur,Locality_393,Independent House,2,2741,300.29,0.11,1991,Furnished,21,26,35,5,7,3,1,1,"Playground, Clubhouse, Gym, Pool, Garden",North,Builder,Ready_to_Move,5,0.8076923076923077,0
Jharkhand,Ranchi,Locality_122,Villa,2,1393,187.42,0.13,2011,Unfurnished,6,13,15,3,3,3,1,0,"Clubhouse, Playground, Garden, Gym",East,Owner,Ready_to_Move,4,0.46153846153846156,0
Karnataka,Bangalore,Locality_462,Apartment,5,3988,465.38,0.12,2022,Furnished,6,24,4,6,4,3,0,1,"Clubhouse, Pool, Playground, Gym",West,Broker,Ready_to_Move,4,0.25,0
Rajasthan,Jaipur,Locality_369,Apartment,1,2815,491.97,0.17,2015,Furnished,4,7,11,9,6,3,1,1,Playground,East,Owner,Under_Construction,1,0.5714285714285714,0
Chhattisgarh,Bilaspur,Locality_241,Villa,2,2524,407.96,0.16,2016,Semi-furnished,13,18,10,8,6,3,1,0,"Pool, Playground, Clubhouse",North,Broker,Under_Construction,3,0.7222222222222222,0
Telangana,Warangal,Locality_459,Apartment,1,2059,488.42,0.24,1995,Furnished,0,26,31,7,6,1,0,0,"Garden, Pool, Gym, Playground, Clubhouse",West,Broker,Under_Construction,5,0.0,0
Rajasthan,Jaipur,Locality_355,Independent House,4,3176,164.31,0.05,1990,Unfurnished,11,22,36,9,4,1,1,0,"Pool, Gym, Clubhouse",East,Builder,Under_Construction,3,0.5,0
Jharkhand,Jamshedpur,Locality_159,Villa,3,2032,50.67,0.02,1990,Unfurnished,4,21,36,3,4,1,0,1,"Clubhouse, Garden",East,Owner,Ready_to_Move,2,0.19047619047619047,0
Maharashtra,Pune,Locality_143,Apartment,5,2346,404.23,0.17,2016,Semi-furnished,9,10,10,8,7,3,0,1,"Garden, Playground, Pool, Clubhouse",South,Owner,Ready_to_Move,4,0.9,0
Telangana,Hyderabad,Locality_454,Apartment,3,2750,59.35,0.02,2002,Furnished,21,29,24,6,8,1,1,0,"Playground, Pool",West,Broker,Under_Construction,2,0.7241379310344828,0
West Bengal,Kolkata,Locality_136,Apartment,3,2896,288.27,0.1,2022,Furnished,6,6,4,10,10,1,1,1,Playground,East,Builder,Under_Construction,1,1.0,0
Uttar Pradesh,Lucknow,Locality_223,Apartment,3,2516,472.04,0.19,2023,Unfurnished,28,30,3,4,7,3,1,1,"Garden, Clubhouse",North,Builder,Ready_to_Move,2,0.9333333333333333,0
Haryana,Faridabad,Locality_368,Villa,1,3524,308.14,0.09,2006,Semi-furnished,22,23,20,6,6,2,1,1,"Gym, Pool, Clubhouse, Garden",West,Builder,Ready_to_Move,4,0.9565217391304348,0
Tamil Nadu,Chennai,Locality_143,Villa,1,4426,93.9,0.02,2007,Semi-furnished,17,28,19,1,8,1,0,1,Garden,West,Broker,Ready_to_Move,1,0.6071428571428571,0
Delhi,Dwarka,Locality_480,Independent House,2,775,26.99,0.03,2008,Semi-furnished,11,14,18,8,1,3,0,1,Clubhouse,South,Broker,Ready_to_Move,1,0.7857142857142857,0
Andhra Pradesh,Vishakhapatnam,Locality_485,Independent House,2,584,109.23,0.19,2001,Furnished,3,22,25,3,2,2,1,0,"Pool, Garden, Gym",South,Builder,Ready_to_Move,3,0.13636363636363635,0
Punjab,Ludhiana,Locality_96,Apartment,4,1845,472.99,0.26,2022,Unfurnished,7,27,4,10,5,2,0,0,"Playground, Clubhouse",East,Broker,Ready_to_Move,2,0.25925925925925924,0
Karnataka,Mysore,Locality_295,Independent House,3,3796,461.46,0.12,2013,Furnished,2,3,13,6,5,1,0,0,Pool,East,Broker,Under_Construction,1,0.6666666666666666,0
Bihar,Patna,Locality_58,Villa,4,1515,161.03,0.11,2012,Furnished,20,30,14,3,7,1,0,1,"Gym, Pool, Garden, Playground",East,Broker,Ready_to_Move,4,0.6666666666666666,0
Chhattisgarh,Raipur,Locality_484,Apartment,4,2409,180.64,0.07,1996,Unfurnished,11,20,30,5,7,1,0,1,"Playground, Pool, Gym, Garden",North,Builder,Ready_to_Move,4,0.55,0
